Scenario,Attribute,Process,Period,Region,Vintage,Timeslice,Pv
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_NY_US_VT,2020,VT,0,-,0.241659414
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_NY_US_VT,2020,NY,0,-,0.241659414
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_NY_US_PA,2020,PA,0,-,0.8465099715
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_NY_US_PA,2020,NY,0,-,0.8465099715
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_NV_US_UT,2020,UT,0,-,0.474772754999999
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_NV_US_UT,2020,NV,0,-,0.474772754999999
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_NV_US_OR,2020,OR,0,-,0.001
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_NV_US_OR,2020,NV,0,-,0.001
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_NM_US_UT,2020,UT,0,-,0.2990836897
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_NM_US_UT,2020,NM,0,-,0.2990836897
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_NM_US_TX,2020,TX,0,-,5.70268
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_NM_US_TX,2020,NM,0,-,5.70268
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_NJ_US_PA,2020,PA,0,-,8.38404332699999
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_NJ_US_PA,2020,NJ,0,-,8.38404332699999
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_NJ_US_NY,2020,NY,0,-,1.153490028
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_NJ_US_NY,2020,NJ,0,-,1.153490028
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_NH_US_VT,2020,VT,0,-,1.796173252
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_NH_US_VT,2020,NH,0,-,1.796173252
