Scenario,Attribute,Process,Period,Region,Vintage,Timeslice,Pv
fix_ts40,VAR_FOut,TRD_ELCC_AC_US_VA_US_WV,2050,VA,2050,S04WD2P,1.20841542554024
fix_ts40,VAR_FOut,TRD_ELCC_AC_US_VA_US_WV,2050,VA,2050,S04WD2B,1.71949856781364
fix_ts40,VAR_FOut,TRD_ELCC_AC_US_VA_US_WV,2050,VA,2050,S04WD1Z,0.474952377048266
fix_ts40,VAR_FOut,TRD_ELCC_AC_US_VA_US_WV,2050,VA,2050,S04WD1P,0.595919215049902
fix_ts40,VAR_FOut,TRD_ELCC_AC_US_VA_US_WV,2050,VA,2050,S04WD1C,1.38707525668152
fix_ts40,VAR_FOut,TRD_ELCC_AC_US_VA_US_WV,2050,VA,2050,S04WD1B,0.722766186623439
fix_ts40,VAR_FOut,TRD_ELCC_AC_US_VA_US_WV,2050,VA,2050,S04WD1A,2.1140488736392
fix_ts40,VAR_FOut,TRD_ELCC_AC_US_VA_US_WV,2050,VA,2050,S03WD2Z,0.0947651520422124
fix_ts40,VAR_FOut,TRD_ELCC_AC_US_VA_US_WV,2050,VA,2050,S03WD2P,0.985721619085486
fix_ts40,VAR_FOut,TRD_ELCC_AC_US_VA_US_WV,2050,VA,2050,S03WD2B,1.72586948666743
fix_ts40,VAR_FOut,TRD_ELCC_AC_US_VA_US_WV,2050,VA,2050,S03WD2A,1.3436069947069
fix_ts40,VAR_FOut,TRD_ELCC_AC_US_VA_US_WV,2050,VA,2050,S03WD1Z,3.51503864669046
fix_ts40,VAR_FOut,TRD_ELCC_AC_US_VA_US_WV,2050,VA,2050,S03WD1P,1.43048716211395
fix_ts40,VAR_FOut,TRD_ELCC_AC_US_VA_US_WV,2050,VA,2050,S03WD1B,0.693263775094483
fix_ts40,VAR_FOut,TRD_ELCC_AC_US_VA_US_WV,2050,VA,2050,S03WD1A,1.99580155005127
fix_ts40,VAR_FOut,TRD_ELCC_AC_US_VA_US_WV,2050,VA,2050,S02WD2Z,1.08801051068068
fix_ts40,VAR_FOut,TRD_ELCC_AC_US_VA_US_WV,2050,VA,2050,S02WD2P,1.26371444795761
fix_ts40,VAR_FOut,TRD_ELCC_AC_US_VA_US_WV,2050,VA,2050,S02WD2B,1.64028623892232
fix_ts40,VAR_FOut,TRD_ELCC_AC_US_VA_US_WV,2050,VA,2050,S02WD1Z,1.63456595549634
fix_ts40,VAR_FOut,TRD_ELCC_AC_US_VA_US_WV,2050,VA,2050,S02WD1P,0.651364275302983
fix_ts40,VAR_FOut,TRD_ELCC_AC_US_VA_US_WV,2050,VA,2050,S02WD1B,1.83737977522727
fix_ts40,VAR_FOut,TRD_ELCC_AC_US_VA_US_WV,2050,VA,2050,S02WD1A,2.3124004619003
fix_ts40,VAR_FOut,TRD_ELCC_AC_US_VA_US_WV,2050,VA,2050,S01WD2Z,1.12340990055671
fix_ts40,VAR_FOut,TRD_ELCC_AC_US_VA_US_WV,2050,VA,2050,S01WD2P,1.07905389217022
fix_ts40,VAR_FOut,TRD_ELCC_AC_US_VA_US_WV,2050,VA,2050,S01WD2B,1.37814172880854
fix_ts40,VAR_FOut,TRD_ELCC_AC_US_VA_US_WV,2050,VA,2050,S01WD2A,0.86989410861824
fix_ts40,VAR_FOut,TRD_ELCC_AC_US_NY_US_PA,2024,PA,2024,S04WD2Z,0.987710610183721
fix_ts40,VAR_FOut,TRD_ELCC_AC_US_VA_US_WV,2050,VA,2050,S01WD1Z,1.26072851963231
fix_ts40,VAR_FOut,TRD_ELCC_AC_US_NY_US_PA,2024,PA,2024,S04WD2C,1.58033697629929
fix_ts40,VAR_FOut,TRD_ELCC_AC_US_NY_US_PA,2024,PA,2024,S04WD1A,0.553117941711426
fix_ts40,VAR_FOut,TRD_ELCC_AC_US_VA_US_WV,2050,VA,2050,S01WD1P,0.684777039117389
fix_ts40,VAR_FOut,TRD_ELCC_AC_US_NY_US_PA,2024,PA,2024,S03WD2Z,1.00290615803968
fix_ts40,VAR_FOut,TRD_ELCC_AC_US_VA_US_WV,2050,VA,2050,S01WD1C,2.03868641342545
fix_ts40,VAR_FOut,TRD_ELCC_AC_US_NY_US_PA,2024,PA,2024,S03WD2P,0.0249352775410353
fix_ts40,VAR_FOut,TRD_ELCC_AC_US_VA_US_WV,2050,VA,2050,S01WD1B,1.51577898912077
fix_ts40,VAR_FOut,TRD_ELCC_AC_US_NY_US_PA,2024,PA,2024,S03WD2C,1.60464985284748
fix_ts40,VAR_FOut,TRD_ELCC_AC_US_VA_US_WV,2050,VA,2050,S01WD1A,1.50497342586084
fix_ts40,VAR_FOut,TRD_ELCC_AC_US_NY_US_PA,2024,PA,2024,S03WD2A,1.40406862124488
fix_ts40,VAR_FOut,TRD_ELCC_AC_US_NY_US_PA,2024,PA,2024,S03WD1Z,0.395084244068149
fix_ts40,VAR_FOut,TRD_ELCC_AC_US_VA_US_WV,2045,VA,2045,S04WD2B,2.89856484198212
fix_ts40,VAR_FOut,TRD_ELCC_AC_US_NY_US_PA,2024,PA,2024,S02WD2Z,0.987710610183721
fix_ts40,VAR_FOut,TRD_ELCC_AC_US_VA_US_WV,2045,VA,2045,S04WD1P,1.07628225986209
fix_ts40,VAR_FOut,TRD_ELCC_AC_US_VA_US_WV,2045,VA,2045,S04WD1B,1.20595742020834
fix_ts40,VAR_FOut,TRD_ELCC_AC_US_NY_US_PA,2024,PA,2024,S02WD2C,1.58033697629929
fix_ts40,VAR_FOut,TRD_ELCC_AC_US_VA_US_WV,2045,VA,2045,S03WD2P,2.29944277932542
fix_ts40,VAR_FOut,TRD_ELCC_AC_US_NY_US_PA,2024,PA,2024,S01WD2Z,1.00290615803968
fix_ts40,VAR_FOut,TRD_ELCC_AC_US_VA_US_WV,2045,VA,2045,S03WD2B,3.12869554882966
fix_ts40,VAR_FOut,TRD_ELCC_AC_US_NY_US_PA,2024,PA,2024,S01WD2P,0.401162463205195
fix_ts40,VAR_FOut,TRD_ELCC_AC_US_VA_US_WV,2045,VA,2045,S03WD1P,0.921229840207764
fix_ts40,VAR_FOut,TRD_ELCC_AC_US_NY_US_PA,2024,PA,2024,S01WD2C,1.60464985284748
fix_ts40,VAR_FOut,TRD_ELCC_AC_US_VA_US_WV,2045,VA,2045,S03WD1B,1.19587869034298
fix_ts40,VAR_FOut,TRD_ELCC_AC_US_NY_US_PA,2024,PA,2024,S01WD2A,1.40406862124488
fix_ts40,VAR_FOut,TRD_ELCC_AC_US_VA_US_WV,2045,VA,2045,S02WD2B,2.90294555639932
fix_ts40,VAR_FOut,TRD_ELCC_AC_US_NY_US_PA,2024,PA,2024,S01WD1B,0.151955478479536
fix_ts40,VAR_FOut,TRD_ELCC_AC_US_NY_US_PA,2024,PA,2024,S01WD1A,0.531844174718418
fix_ts40,VAR_FOut,TRD_ELCC_AC_US_VA_US_WV,2045,VA,2045,S02WD1P,1.1699249828714
fix_ts40,VAR_FOut,TRD_ELCC_AC_US_NY_US_PA,2023,PA,2023,S04WD2Z,0.987710610183721
fix_ts40,VAR_FOut,TRD_ELCC_AC_US_VA_US_WV,2045,VA,2045,S02WD1B,1.27529585262392
fix_ts40,VAR_FOut,TRD_ELCC_AC_US_NY_US_PA,2023,PA,2023,S04WD2P,0.395084244068149
fix_ts40,VAR_FOut,TRD_ELCC_AC_US_VA_US_WV,2045,VA,2045,S01WD2P,2.36790346942294
fix_ts40,VAR_FOut,TRD_ELCC_AC_US_NY_US_PA,2023,PA,2023,S04WD2C,1.58033697629929
fix_ts40,VAR_FOut,TRD_ELCC_AC_US_VA_US_WV,2045,VA,2045,S01WD2B,2.60817338936173
fix_ts40,VAR_FOut,TRD_ELCC_AC_US_NY_US_PA,2023,PA,2023,S04WD2B,0.395084244068149
fix_ts40,VAR_FOut,TRD_ELCC_AC_US_VA_US_WV,2045,VA,2045,S01WD1Z,2.43758172669571
fix_ts40,VAR_FOut,TRD_ELCC_AC_US_NY_US_PA,2023,PA,2023,S04WD2A,1.38279485425187
