Scenario,Attribute,Process,Period,Region,Vintage,Timeslice,Pv
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_OK_US_TX,2021,TX,2021,S04WD2P,0.102678688522682
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_OK_US_TX,2021,TX,2021,S04WD2C,0.410714754097666
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_OK_US_TX,2021,TX,2021,S04WD2B,0.102678688522682
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_OK_US_TX,2021,TX,2021,S04WD1Z,0.102678688522682
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_OK_US_TX,2021,TX,2021,S04WD1P,0.0410714754132355
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_OK_US_TX,2021,TX,2021,S04WD1C,0.164285901639066
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_OK_US_TX,2021,TX,2021,S04WD1B,0.0410714754132355
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_OK_US_TX,2021,TX,2021,S04WD1A,0.143750163935917
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_OK_US_TX,2021,TX,2021,S03WD2B,0.10425836065316
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_OK_US_TX,2021,TX,2021,S03WD1Z,0.102678688522682
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_OK_US_TX,2021,TX,2021,S03WD1P,0.0410714754132355
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_OK_US_TX,2021,TX,2021,S03WD1B,0.0410714754132355
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_OK_US_TX,2021,TX,2021,S03WD1A,0.143750163935917
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_OK_US_TX,2021,TX,2021,S02WD2P,0.102678688522682
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_OK_US_TX,2021,TX,2021,S02WD1Z,0.106627868852345
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_OK_US_TX,2021,TX,2021,S02WD1P,0.0426511475437133
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_OK_US_TX,2021,TX,2021,S02WD1B,0.0426511475437133
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_OK_US_TX,2021,TX,2021,S02WD1A,0.149279016396059
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_OK_US_TX,2021,TX,2021,S01WD2Z,0.260645901639837
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_OK_US_TX,2021,TX,2021,S01WD2P,0.10425836065316
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_OK_US_TX,2021,TX,2021,S01WD2C,0.417033442619577
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_OK_US_TX,2021,TX,2021,S01WD2B,0.10425836065316
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_OK_US_TX,2021,TX,2021,S01WD1P,0.0394918032758198
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_OK_US_TX,2021,TX,2021,S01WD1C,0.157967213117155
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_OK_US_TX,2021,TX,2021,S01WD1B,0.0394918032758198
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_OK_US_TX,2021,TX,2021,S01WD1A,0.138221311475776
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_OK_US_TX,2022,OK,2022,S04WD2Z,0.256696721310174
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_OK_US_TX,2022,OK,2022,S04WD2P,0.102678688522682
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_OK_US_TX,2022,OK,2022,S04WD2C,0.410714754097666
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_OK_US_TX,2022,OK,2022,S04WD2B,0.102678688522682
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_OK_US_TX,2022,OK,2022,S04WD2A,0.359375409832856
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_OK_US_TX,2022,OK,2022,S04WD1Z,0.102678688522682
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_OK_US_TX,2022,OK,2022,S04WD1P,0.0410714754132355
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_OK_US_TX,2022,OK,2022,S04WD1C,0.164285901639066
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_OK_US_TX,2022,OK,2022,S04WD1B,0.0410714754132355
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_OK_US_TX,2022,OK,2022,S04WD1A,0.143750163935917
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_OK_US_TX,2022,OK,2022,S03WD2Z,0.260645901639837
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_OK_US_TX,2022,OK,2022,S03WD2P,0.10425836065316
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_OK_US_TX,2022,OK,2022,S03WD2C,0.417033442619577
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_OK_US_TX,2022,OK,2022,S03WD2B,0.10425836065316
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_OK_US_TX,2022,OK,2022,S03WD1Z,0.102678688522682
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_OK_US_TX,2022,OK,2022,S03WD1P,0.0410714754132355
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_OK_US_TX,2022,OK,2022,S03WD1C,0.164285901639066
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_OK_US_TX,2022,OK,2022,S03WD1B,0.0410714754132355
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_OK_US_TX,2022,OK,2022,S02WD2Z,0.256696721310174
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_OK_US_TX,2022,OK,2022,S02WD2C,0.410714754097666
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_OK_US_TX,2022,OK,2022,S02WD2B,0.102678688522682
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_OK_US_TX,2022,OK,2022,S02WD2A,0.359375409832856
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_OK_US_TX,2022,OK,2022,S02WD1Z,0.106627868852345
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_OK_US_TX,2022,OK,2022,S02WD1P,0.0426511475437133
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_OK_US_TX,2022,OK,2022,S02WD1C,0.170604590160977
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_OK_US_TX,2022,OK,2022,S02WD1B,0.0426511475437133
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_OK_US_TX,2022,OK,2022,S02WD1A,0.149279016396059
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_OK_US_TX,2022,OK,2022,S01WD2Z,0.260645901639837
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_OK_US_TX,2022,OK,2022,S01WD2P,0.10425836065316
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_OK_US_TX,2022,OK,2022,S01WD2B,0.10425836065316
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_OK_US_TX,2022,OK,2022,S01WD2A,0.364904262292997
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_OK_US_TX,2022,OK,2022,S01WD1Z,0.0987295081999565
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_OK_US_TX,2022,OK,2022,S01WD1P,0.0394918032758198
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_OK_US_TX,2022,OK,2022,S01WD1C,0.157967213117155
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_OK_US_TX,2022,OK,2022,S01WD1B,0.0394918032758198
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_OK_US_TX,2022,OK,2022,S01WD1A,0.138221311475776
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_NM_US_TX,2022,NM,2022,S04WD2Z,0.233360655736522
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_NM_US_TX,2022,NM,2022,S04WD2C,0.373377049179696
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_NM_US_TX,2022,NM,2022,S04WD2B,0.0933442622933472
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_NM_US_TX,2022,NM,2022,S04WD1Z,0.0933442622933472
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_NM_US_TX,2022,NM,2022,S04WD1P,0.0373377049211232
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_NM_US_TX,2022,NM,2022,S04WD1C,0.149350819671878
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_NM_US_TX,2022,NM,2022,S04WD1B,0.0373377049211232
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_NM_US_TX,2022,NM,2022,S04WD1A,0.13068196721447
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_NM_US_TX,2022,NM,2022,S03WD2Z,0.236950819672579
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_NM_US_TX,2022,NM,2022,S03WD2P,0.0947803278665088
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_NM_US_TX,2022,NM,2022,S03WD2C,0.379121311472343
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_NM_US_TX,2022,NM,2022,S03WD2B,0.0947803278665088
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_NM_US_TX,2022,NM,2022,S03WD2A,0.331731147539088
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_NM_US_TX,2022,NM,2022,S03WD1Z,0.0933442622933472
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_NM_US_TX,2022,NM,2022,S03WD1C,0.149350819671878
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_NM_US_TX,2022,NM,2022,S03WD1B,0.0373377049211232
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_NM_US_TX,2022,NM,2022,S03WD1A,0.13068196721447
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_NM_US_TX,2022,NM,2022,S02WD2Z,0.233360655736522
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_NM_US_TX,2022,NM,2022,S02WD2P,0.0933442622933472
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_NM_US_TX,2022,NM,2022,S02WD2C,0.373377049179696
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_NM_US_TX,2022,NM,2022,S02WD2A,0.326704918029869
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_NM_US_TX,2022,NM,2022,S02WD1Z,0.0969344262294048
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_NM_US_TX,2022,NM,2022,S02WD1P,0.0387737704942848
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_NM_US_TX,2022,NM,2022,S02WD1C,0.155095081964525
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_NM_US_TX,2022,NM,2022,S02WD1A,0.13570819672369
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_NM_US_TX,2022,NM,2022,S01WD2Z,0.236950819672579
fix_cb_ts40,VAR_FOut,TRD_ELCC_DC_US_NM_US_TX,2022,NM,2022,S01WD2P,0.0947803278665088
